소득,연령,신용대출총잔액,장기보험사고접수건수,월납보험료,보험유지기간,리볼빙건수,현금서비스합계,대출한도소진율,은행계좌유지기간,신용카드일시불이용률,자동차사고접수건수,대출금액,금리,신용스코어,최근6개월내미상환대출총건수,대출유입경로,연체해제일로부터의기간,연체여부
19200000,31,23250,8,168950,51,0,0,92.59,4723,94,0,15000000,7.45,847,0,모바일앱,99999,0
21600000,40,1414,5,751080,88,2,0,38.75,5147,73,2,5000000,9.61,861,0,모바일앱,99999,0
19200000,43,0,0,68180,163,0,900,100,8114,44,0,1800000,9.59,946,1,모바일앱,99999,0
36000000,43,0,1,322230,145,0,0,88.19,6063,80,1,25000000,9.05,937,0,모바일앱,99999,0
22400000,69,0,1,65000,169,1,0,95.93,3421,66,0,10000000,10.08,824,1,모바일앱,99999,0
48000000,27,0,0,328720,39,1,0,0,1639,50,0,10000000,9.11,948,0,모바일앱,99999,0
17600000,38,9950,15,125760,61,0,0,91.55,5320,100,0,1000000,9.11,870,1,모바일앱,99999,0
50000000,33,48000,0,294220,47,0,0,94.46,2766,100,0,1000000,8.59,945,0,모바일앱,99999,0
41600000,56,19000,3,91340,182,0,0,99.59,8198,100,0,10000000,7.17,870,1,홈페이지,99999,0
50000000,43,21575,2,60000,181,2,0,99.21,3829,38,0,3000000,8.07,842,1,모바일앱,99999,0
20800000,39,0,7,224870,109,0,0,97.14,5791,0,0,11170000,10.08,801,1,모바일앱,99999,1
34400000,31,38383,1,65330,112,1,0,100,2694,67,0,1000000,10.08,773,1,모바일앱,99999,0
26400000,41,15000,8,891540,37,0,0,0,5824,100,0,11000000,10.08,757,2,모바일앱,99999,0
23200000,43,0,,162330,151,0,0,100,6144,59,,5000000,8.93,919,0,모바일앱,99999,0
50000000,40,131272,0,107550,69,2,7460,0,3054,93,0,3000000,10.08,788,0,모바일앱,99999,1
27200000,32,32384,0,300000,83,1,0,96.81,3822,31,0,12220000,9.11,768,0,모바일앱,99999,1
43200000,53,30000,11,442400,209,0,0,98.22,11752,95,0,25000000,8.2,894,1,모바일웹,99999,0
50000000,53,0,35,2283910,69,0,0,100,10397,0,0,25000000,9.59,899,0,홈페이지,99999,0
32800000,41,0,0,129690,132,0,0,89.4,3543,84,0,10000000,9.61,930,0,모바일앱,99999,0
35200000,43,2950,0,180650,113,0,0,97.07,5450,79,0,2000000,7.19,930,1,모바일앱,99999,0
30400000,30,0,1,263520,61,1,0,65.42,2875,86,0,23080000,7.17,932,0,모바일앱,99999,0
28800000,40,28508,2,318160,117,0,0,65.37,4144,90,0,15000000,7.5,846,2,모바일앱,99999,0
26400000,38,0,,64820,74,0,0,97.67,3813,70,,5000000,8.93,928,1,모바일앱,99999,0
18400000,29,0,8,77480,92,0,0,0,2722,77,0,16100000,9.61,958,0,모바일앱,99999,0
0,43,0,,162330,151,0,0,100,6144,59,,10000000,8.93,919,0,모바일앱,99999,0
28000000,59,0,4,136750,192,0,0,95.24,7818,91,0,14000000,9.28,995,0,모바일웹,99999,0
50000000,43,173000,46,813470,202,0,0,89.76,6119,84,1,1000000,9.15,896,1,모바일앱,99999,0
34400000,50,9895,3,174770,200,0,0,87.02,10560,75,1,5000000,7.2,930,1,모바일앱,99999,0
21600000,38,35567,3,165290,116,1,0,98.17,7654,97,0,12400000,9.61,860,0,모바일앱,99999,0
44800000,54,56900,0,137370,70,0,0,94.96,9257,93,0,20000000,7.17,901,0,모바일앱,99999,0
25600000,56,50000,2,51960,168,0,0,97.84,9877,95,0,3000000,9.61,872,2,모바일앱,99999,0
50000000,39,182083,0,227690,90,0,0,99.05,6358,74,0,3000000,7.44,852,0,홈페이지,99999,0
30400000,51,24518,10,87300,160,1,0,100,8346,94,0,3000000,9.59,864,1,모바일앱,99999,0
26400000,45,10000,7,455950,105,0,0,77.06,5601,86,0,25000000,7.17,959,0,홈페이지,99999,0
32000000,41,25494,3,78460,171,0,0,87.02,6015,83,0,19000000,9.28,911,0,모바일앱,99999,0
44000000,42,0,8,358150,193,0,0,46.91,6362,82,1,25000000,7.17,995,0,모바일앱,99999,0
48000000,61,0,25,249560,125,1,7120,91.93,10450,55,0,10000000,9.61,886,0,모바일앱,99999,0
50000000,44,45300,42,1164010,236,0,0,100,7256,70,0,10000000,7.04,870,1,모바일앱,99999,0
40800000,37,10318,26,77610,191,0,0,94.9,3658,97,0,14680000,7.11,851,0,모바일앱,99999,0
50000000,45,45000,0,349180,79,2,0,92.19,5563,75,0,8330000,7.11,847,0,홈페이지,99999,0
50000000,47,39193,9,401940,137,0,0,83.88,2443,62,0,11860000,8.07,768,0,모바일앱,99999,0
50000000,53,53954,8,806730,85,1,0,97.48,1174,39,0,19920000,10.08,768,1,모바일앱,99999,1
29600000,52,54000,2,420840,92,2,3487,99.87,7517,30,0,12970000,9.92,850,0,모바일앱,99999,0
50000000,42,90285,0,100000,136,0,0,100,5654,62,0,3000000,8.2,846,1,모바일앱,99999,0
40000000,47,2766,,114870,91,0,0,95.43,4332,76,,3000000,7.72,861,0,모바일앱,99999,0
27200000,40,39217,1,739090,157,1,0,92,4927,47,1,3000000,8.53,767,1,모바일앱,99999,0
50000000,48,7700,5,95230,75,0,0,0,365,90,0,20000000,10.08,883,1,모바일앱,99999,0
19200000,40,18673,6,239970,99,1,1000,100,4978,65,0,1000000,9.92,855,0,모바일앱,99999,0
50000000,68,10686,5,416290,187,0,0,0,11148,71,1,25000000,7.17,888,0,홈페이지,99999,0
50000000,50,142535,8,703800,261,2,0,99.91,9040,91,0,3000000,9.11,836,2,모바일앱,99999,0
32000000,37,0,7,126250,119,0,0,92.84,4564,0,0,25000000,9.61,874,0,모바일앱,99999,0
21600000,40,0,4,3965590,265,0,0,0,5485,29,0,10000000,8.53,919,0,모바일앱,99999,1
35200000,60,44156,2,198200,93,3,0,98.96,5683,67,0,3000000,8.53,801,1,홈페이지,99999,0
20000000,48,36208,1,140000,33,1,0,100,3095,93,0,6230000,10.08,841,1,모바일앱,99999,0
34400000,61,10000,0,172610,33,0,0,58.54,1446,42,0,13170000,10.08,883,0,홈페이지,99999,0
28800000,57,0,0,63300,123,1,0,0,10704,100,0,25000000,9.28,995,0,홈페이지,99999,0
26400000,63,14019,4,143040,116,2,600,84.75,3882,47,0,10000000,9.11,751,2,모바일앱,99999,1
20800000,38,12510,0,123340,65,0,0,64.86,5564,24,0,1000000,8.53,846,0,모바일앱,99999,0
40800000,41,52411,0,61630,123,0,0,95.02,3908,79,0,5000000,7.19,839,1,모바일앱,99999,0
50000000,52,96201,6,193740,217,0,0,88.89,6785,62,0,4000000,7.17,909,0,모바일앱,99999,0
36000000,40,14168,5,240260,170,2,21390,97.71,6103,22,0,4230000,10.08,751,2,모바일앱,99999,0
16000000,69,15786,1,214970,193,3,2647,0,8491,70,0,3000000,8.53,765,0,홈페이지,99999,1
48800000,47,40000,4,138200,82,1,0,97.19,3788,85,0,20000000,10.08,819,1,모바일앱,99999,0
42400000,45,58733,7,397100,180,3,0,64.64,5927,84,0,10000000,9.11,773,0,홈페이지,99999,0
24800000,44,22812,0,60000,42,1,0,100,2843,100,0,9560000,10.08,765,0,모바일앱,99999,0
48000000,41,5000,0,150000,33,0,0,0,4318,6,0,3000000,9.11,857,1,모바일앱,99999,0
25600000,42,21983,13,265670,194,1,0,94.3,7906,77,0,14000000,8.53,824,0,모바일앱,99999,0
26400000,43,13968,17,88790,98,1,0,0,7166,38,0,11880000,10.08,884,1,모바일앱,99999,0
29600000,49,9000,34,221990,128,2,600,97.29,7465,88,0,2000000,7.11,855,0,홈페이지,99999,0
21600000,47,20000,9,157070,296,1,0,99.19,8846,74,0,3000000,8.53,941,0,모바일앱,99999,0
32000000,54,46490,9,178510,159,0,0,93.03,4430,100,0,3000000,10.08,812,0,모바일앱,99999,0
24000000,52,71200,0,130000,111,2,0,31.83,10561,85,0,3000000,10.08,767,3,모바일앱,99999,0
16800000,49,46016,3,68710,124,1,0,100,8781,84,0,3000000,9.11,793,2,홈페이지,99999,0
18400000,45,46179,3,105690,75,1,0,59.83,4509,84,1,3000000,8.53,801,0,모바일웹,99999,0
36000000,52,3665,0,342360,136,0,0,99.8,8272,66,0,3000000,7.17,856,1,모바일앱,99999,0
38400000,58,0,2,169860,163,0,0,88.74,9785,67,2,20000000,7.04,946,0,모바일앱,99999,0
41600000,53,2100,16,200710,106,0,0,97.09,8623,100,0,10000000,7.19,846,1,모바일앱,99999,0
50000000,52,0,4,208180,179,0,0,0,5171,93,0,18000000,8.53,995,0,홈페이지,99999,0
40000000,53,0,12,570330,87,0,0,0,9819,84,2,1000000,7.04,995,0,홈페이지,99999,0
0,49,9000,34,221990,128,2,600,97.29,7465,88,0,1000000,7.11,855,0,홈페이지,99999,0
23200000,41,0,0,66860,155,0,0,100,5338,98,0,8000000,8.2,930,0,모바일앱,99999,0
32800000,52,10000,6,286200,134,0,0,83.82,3540,92,0,18000000,9.11,946,1,모바일웹,99999,0
24000000,36,29351,2,165790,35,3,0,0,4848,28,0,8700000,9.11,824,0,모바일앱,99999,0
26400000,47,13742,2,166260,140,1,2000,99.03,2176,26,0,3000000,10.08,765,0,홈페이지,99999,0
33600000,56,34000,4,244190,159,0,0,0,10778,91,2,10000000,7.04,927,0,모바일웹,99999,0
41600000,63,27000,3,636830,119,0,0,98.6,8410,77,1,10000000,7.04,946,0,홈페이지,99999,0
20000000,32,25902,6,292400,125,1,0,99.05,4421,43,5,3000000,10.08,750,1,모바일앱,99999,1
34400000,41,35000,8,532880,198,0,0,97.14,5865,74,0,3000000,7.04,959,0,모바일앱,99999,0
27200000,40,10000,2,114300,50,0,0,76.07,5802,85,0,4000000,8.53,964,0,홈페이지,99999,0
50000000,39,17057,3,136410,159,4,0,87.27,3848,62,1,20000000,10.08,836,0,홈페이지,99999,0
36800000,53,2250,9,70030,165,1,2000,97.28,8093,18,0,5000000,8.53,855,0,모바일앱,99999,0
42400000,46,58584,4,430980,134,1,0,98.07,7701,100,1,3000000,9.11,763,1,모바일앱,99999,0
21600000,45,7900,66,417500,195,0,0,99.96,8034,17,0,3000000,7.06,856,1,모바일앱,99999,0
29600000,38,41235,20,164750,97,2,0,98.16,5292,27,0,9400000,10.08,781,0,모바일앱,99999,1
50000000,55,160000,5,1622780,122,0,0,99.94,10770,61,2,5000000,7.04,886,0,홈페이지,99999,0
32000000,49,35810,2,293920,197,1,0,99.3,5217,95,0,10000000,7.06,864,1,홈페이지,99999,0
21600000,50,8188,34,266420,109,0,0,30.92,5339,72,0,10000000,7.17,881,0,홈페이지,99999,0
20800000,52,45875,6,152910,121,1,0,100,12529,100,0,3000000,8.07,852,0,홈페이지,99999,0
36000000,51,10527,1,58780,163,0,0,100,2867,95,0,25000000,8.53,838,0,모바일웹,99999,0
50000000,36,18886,11,208630,251,3,0,77.5,2273,85,0,20000000,10.08,794,0,모바일앱,99999,0
32800000,41,0,10,500960,156,0,0,95.79,5104,68,1,15000000,7.5,954,0,모바일앱,99999,0
33600000,41,63447,9,57480,167,2,0,98.21,6467,83,0,12760000,9.11,814,0,모바일앱,99999,0
28000000,65,4750,4,78630,42,0,0,0,10655,84,0,5000000,9.61,880,1,모바일앱,99999,0
18400000,28,35250,1,202290,63,1,0,0,3246,68,1,5500000,9.11,837,0,모바일앱,99999,1
30400000,31,13499,0,77900,161,2,1300,99.47,4824,28,0,3000000,10.08,751,1,모바일앱,99999,0
36000000,42,14584,1,81030,124,3,23031,99.49,5305,25,0,8290000,9.11,752,0,모바일앱,99999,0
19200000,40,0,19,480410,53,0,0,0,725,84,0,10000000,10.08,879,0,모바일앱,99999,0
21600000,38,9881,0,331850,103,0,0,98.46,2540,100,1,3400000,10.08,777,2,모바일앱,99999,0
30400000,40,25000,1,181950,70,0,0,0,7315,100,0,20000000,8.07,847,0,홈페이지,99999,0
50000000,53,0,0,1000000,39,0,0,87.86,7883,76,4,25000000,7.45,896,1,홈페이지,99999,0
28000000,37,0,4,54900,65,0,0,0,6097,77,0,24230000,9.61,959,0,모바일앱,99999,0
28000000,44,36357,7,176910,147,0,0,95.99,3203,68,0,3000000,10.08,778,2,모바일앱,99999,1
44000000,60,23000,5,960200,54,0,0,0,6012,78,2,5000000,8.53,810,3,모바일앱,99999,0
37600000,41,10000,6,290270,147,0,0,99.77,5351,82,0,20000000,7.44,906,1,모바일앱,99999,0
36000000,43,6025,,184880,273,1,0,99.28,6003,89,,3000000,8.93,861,0,모바일앱,99999,0
22400000,40,27777,11,193350,127,3,0,83.28,7636,36,0,8840000,9.11,777,0,모바일앱,99999,0
50000000,46,75887,20,421510,171,0,0,97.2,9689,82,1,25000000,7.5,873,0,모바일앱,99999,0
37600000,42,0,5,655650,119,0,0,98.09,7784,95,0,25000000,9.46,946,0,모바일앱,99999,0
50000000,61,60000,0,283000,66,1,0,98.26,12039,88,0,10000000,7.06,846,2,모바일앱,99999,0
33600000,43,0,2,83440,125,0,0,89.09,7788,87,0,24000000,7.06,969,0,모바일앱,99999,0
19200000,40,14328,7,80250,154,1,0,100,4247,70,0,1000000,9.92,860,0,모바일앱,99999,0
38400000,44,49199,4,126800,156,0,0,98.72,7100,100,0,2500000,7.17,839,1,홈페이지,99999,0
30400000,40,1000,6,589940,26,1,0,0,7142,84,0,10000000,7.5,920,1,모바일앱,99999,0
32000000,48,0,5,137030,120,1,0,91.21,5005,89,0,13380000,9.59,951,0,모바일앱,99999,0
30400000,40,1405,4,91120,115,1,0,99.88,5871,34,0,2000000,9.61,865,0,모바일앱,99999,0
50000000,53,230,2,119740,82,0,0,98.71,6117,100,0,1000000,9.61,906,2,홈페이지,99999,0
38400000,40,10000,0,349490,136,1,0,0,6664,129,0,25000000,7.04,912,0,홈페이지,99999,0
29600000,31,0,4,282960,88,0,0,0,3926,83,0,23800000,9.61,946,1,모바일앱,99999,0
50000000,45,131266,5,195140,212,0,0,93.21,7583,73,0,25000000,7.17,909,0,모바일앱,99999,0
28800000,41,50000,1,123020,117,0,0,0,4589,89,0,25000000,7.17,941,1,홈페이지,99999,0
25600000,40,22850,2,138210,92,0,0,87.11,4530,88,3,10000000,7.44,846,2,모바일앱,99999,0
24800000,50,0,0,195990,37,0,0,0,8528,100,0,24180000,9.59,913,0,홈페이지,99999,0
36000000,57,0,0,350000,144,0,0,100,10856,76,0,5000000,9.46,969,0,홈페이지,99999,0
36000000,56,0,9,119600,170,0,0,0,8378,2,0,3000000,6.98,840,0,모바일앱,99999,0
27200000,39,0,4,502380,59,0,0,97.88,5885,55,0,20000000,7.5,936,1,모바일앱,99999,0
26400000,60,3000,15,55950,167,0,0,99.69,5647,62,0,2300000,9.92,909,0,홈페이지,99999,0
49600000,54,20000,46,121810,173,0,0,98.19,10480,81,0,25000000,7.04,959,0,모바일앱,99999,0
37600000,44,26400,3,226980,170,1,0,100,9363,64,2,25000000,7.5,847,0,모바일앱,99999,0
41600000,52,2500,17,195740,104,0,0,0,8557,100,0,3000000,7.17,870,1,모바일앱,99999,0
28000000,36,12983,1,174160,116,0,0,97.1,4906,71,0,1000000,7.17,846,1,홈페이지,99999,0
40800000,52,40000,54,592150,176,0,0,98.53,8440,82,1,25000000,9.46,927,0,모바일앱,99999,0
19200000,43,6083,0,68180,167,0,0,98.1,8233,31,0,1000000,7.5,856,1,모바일앱,99999,0
27200000,41,0,,172310,203,0,0,73.63,6157,85,,10000000,8.93,959,0,홈페이지,99999,0
45600000,52,11407,0,257790,167,0,0,99.41,11039,65,0,25000000,7.17,838,1,모바일앱,99999,0
50000000,39,107300,0,100000,95,0,0,89.25,4779,76,0,3000000,9.15,909,0,모바일앱,99999,0
29600000,46,0,0,216750,199,0,0,99.76,6202,100,0,25000000,7.04,922,0,홈페이지,99999,0
36000000,49,40000,6,157150,123,0,0,98.41,5415,89,0,24000000,8.2,866,1,홈페이지,99999,0
32800000,47,5624,2,684290,149,0,0,99.39,8287,83,0,1300000,9.01,846,1,모바일앱,99999,0
21600000,42,59865,9,77530,161,0,0,92.05,3459,100,0,7500000,9.11,835,1,홈페이지,99999,0
36000000,47,13416,17,181250,146,1,0,89.46,9030,76,0,20620000,7.44,844,1,모바일앱,99999,0
23200000,29,0,3,114890,54,1,0,0,1564,83,0,5000000,9.11,877,0,모바일앱,99999,0
20800000,56,4730,0,250000,49,0,0,98.21,7924,81,0,25000000,6.99,946,0,홈페이지,99999,0
46400000,30,16897,4,202600,36,2,2800,88.5,3867,43,0,3000000,8.53,777,2,모바일앱,99999,0
50000000,52,170575,0,250510,215,0,0,100,9735,80,0,3000000,8.07,851,1,홈페이지,99999,0
23200000,37,4000,4,420660,29,1,4550,93.33,2252,32,0,5950000,10.08,768,1,모바일앱,99999,1
18400000,31,15500,20,83470,104,1,0,87.59,2798,32,0,7310000,10.08,840,1,모바일앱,99999,1
28000000,41,3414,0,59340,111,0,0,0,4882,62,0,24500000,7.5,941,0,모바일앱,99999,0
28000000,45,0,11,63690,170,0,0,0,5784,0,0,1000000,7.44,844,0,모바일앱,99999,0
28000000,46,13090,14,200430,186,1,0,86.23,7975,92,0,24000000,7.5,865,0,모바일웹,99999,0
37600000,42,13357,0,108020,89,2,4200,42.01,6938,70,0,10000000,9.11,785,1,모바일앱,99999,0
50000000,51,32853,0,100000,58,0,0,65.04,9631,100,0,12000000,7.17,852,0,모바일앱,99999,0
44800000,43,20000,17,172250,167,1,0,97.09,8332,72,0,10000000,7.17,909,0,홈페이지,99999,1
31200000,36,11494,19,122260,135,2,0,91.13,5492,68,0,2000000,9.11,810,1,모바일앱,99999,0
24800000,44,10000,4,146260,92,0,0,98.91,1571,34,0,7000000,9.11,861,1,모바일앱,99999,0
37600000,38,0,0,310000,118,1,5000,99.84,5200,25,0,25000000,7.52,847,0,모바일앱,99999,0
23200000,40,28371,5,279220,79,1,5650,100,4027,29,0,7570000,9.11,775,0,모바일앱,99999,0
29600000,44,40424,8,118200,113,0,0,91.3,1374,87,0,5000000,10.08,773,2,모바일앱,99999,0
43200000,49,12067,25,529580,150,1,0,96.76,6202,91,0,5000000,7.5,851,0,모바일앱,99999,0
26400000,41,0,8,117610,117,0,0,88.24,5516,95,0,1000000,9.28,974,0,모바일앱,99999,0
21600000,41,0,0,189170,61,0,0,95.25,2474,94,0,4000000,8.53,959,0,모바일앱,99999,0
21600000,36,0,5,69590,121,0,0,0,5078,71,0,10000000,8.53,847,0,모바일앱,99999,0
27200000,43,22125,0,65210,136,0,0,96.75,5799,48,0,15000000,9.11,878,1,모바일앱,99999,0
50000000,46,26718,1,108810,179,3,500,96.73,5616,76,0,20000000,10.08,763,2,모바일앱,99999,0
48000000,35,66772,5,643490,140,2,0,89.6,4665,88,2,3000000,9.11,837,0,모바일앱,99999,0
28000000,51,8200,14,407200,114,0,0,99.27,10366,44,1,6000000,8.2,856,1,모바일앱,99999,0
17600000,67,0,1,72800,165,0,0,57.14,1226,40,0,1000000,9.61,852,0,모바일앱,99999,0
32800000,51,22000,17,451960,185,0,0,67.5,5408,91,3,10000000,8.2,896,0,모바일앱,99999,0
26400000,45,0,3,77400,97,0,0,0,5136,38,0,18150000,9.11,812,0,모바일앱,905,0
16800000,42,65000,1,116150,80,2,0,0,5388,100,0,3000000,9.11,777,2,모바일앱,99999,0
44000000,61,15000,2,145320,87,1,0,93.02,12605,67,1,8000000,9.15,922,1,모바일앱,99999,0
44000000,48,3733,1,273980,158,0,0,96.51,4540,49,0,25000000,7.44,875,1,모바일앱,99999,0
36000000,46,0,1,399260,164,0,0,63.25,7568,100,2,21000000,9.28,985,0,홈페이지,99999,0
25600000,43,23323,1,67170,109,2,0,95.45,2381,52,0,8500000,10.08,761,0,모바일앱,99999,0
21600000,42,0,1,185020,37,0,0,0,0,0,0,1000000,10.08,854,0,모바일앱,99999,0
34400000,37,19091,3,52410,144,2,9000,98.78,4196,43,0,10440000,10.08,750,1,홈페이지,99999,0
24800000,48,9000,18,280800,194,0,0,100,10464,65,2,3200000,9.15,872,1,모바일앱,99999,0
50000000,44,0,5,194450,138,0,0,98.85,8104,97,0,25000000,9.28,948,0,모바일앱,99999,0
22400000,40,22321,19,457080,41,0,0,0,4901,83,0,17000000,9.28,896,0,모바일앱,99999,0
21600000,36,4333,6,133130,153,0,0,74.17,4847,0,0,2200000,7.53,906,0,모바일앱,99999,0
40800000,40,33000,20,94390,185,0,0,96.39,5844,93,0,25000000,7.17,872,0,모바일앱,99999,0
36000000,43,23278,8,296500,191,2,14400,100,5150,21,0,3000000,8.53,775,1,모바일앱,99999,0
50000000,50,103894,0,360100,159,1,0,98.69,9843,70,0,3000000,8.07,801,0,모바일앱,99999,0
36000000,52,35462,0,200000,143,0,0,99.18,10258,65,0,5000000,9.59,847,0,모바일앱,99999,0
29600000,45,42000,5,75540,165,2,0,96.22,2777,68,0,9000000,10.08,781,2,모바일앱,99999,0
28800000,40,10912,10,65950,160,1,0,94.89,5794,73,0,3000000,7.2,839,1,모바일앱,99999,0
50000000,51,0,0,543000,135,2,0,96.67,9847,84,0,3000000,9.46,892,0,홈페이지,99999,0
24000000,42,27664,8,114730,91,1,0,100,4653,63,0,13950000,7.53,852,0,모바일앱,99999,0
19200000,33,6209,12,200850,80,0,0,0,2310,80,0,10000000,7.19,909,0,모바일앱,99999,0
44800000,61,1924,11,364130,172,0,0,99.72,3028,55,1,3000000,7.53,862,1,모바일앱,99999,0
0,50,30000,5,329410,190,0,0,98.68,4542,82,0,25000000,7.19,959,0,홈페이지,99999,0
39200000,51,17000,1,261300,123,0,0,99.01,3184,82,0,25000000,9.92,841,0,모바일앱,99999,0
21600000,49,10000,20,172020,110,0,0,99.69,9668,83,0,10000000,7.17,906,2,모바일앱,99999,0
28800000,47,10000,2,172260,198,0,0,87.94,9405,74,0,10000000,6.98,909,0,모바일앱,99999,0
38400000,45,18743,9,389890,203,1,0,93.9,6083,66,0,10000000,7.5,844,0,홈페이지,99999,0
48800000,43,0,12,165770,248,0,0,48.24,7485,62,0,25000000,7.44,880,0,홈페이지,99999,0
48800000,61,50000,12,1187380,342,0,0,99.98,11383,37,3,3000000,9.46,878,1,홈페이지,99999,0
21600000,44,25556,23,143900,173,0,0,100,6784,94,2,5000000,7.5,840,1,모바일앱,175,0
36000000,47,15999,17,181250,149,0,0,98.63,9114,95,0,15160000,7.17,844,1,모바일앱,99999,0
24000000,39,19896,3,127610,114,0,0,75.29,5783,88,0,18030000,7.44,877,2,모바일앱,99999,0
32000000,49,11148,1,123290,127,0,0,100,4512,94,0,25000000,9.92,883,0,모바일앱,99999,0
24000000,46,9500,8,107210,87,0,0,98.82,3145,86,0,10000000,10.08,804,2,홈페이지,99999,0
17600000,50,10395,4,62020,143,2,150,99.78,6559,66,0,5000000,9.59,846,0,모바일웹,99999,0
50000000,58,0,0,270810,113,0,0,98.97,9781,52,0,3000000,8.53,974,0,모바일앱,99999,0
35200000,47,25291,57,446220,165,2,0,97.88,10368,81,0,25000000,7.17,844,1,모바일앱,99999,0
23200000,41,8000,2,185340,27,0,0,0,4378,0,0,6740000,9.11,824,1,모바일앱,99999,0
28000000,51,45309,1,250680,300,1,0,100,9502,90,0,10260000,9.11,801,1,홈페이지,99999,0
41600000,36,3671,1,206960,143,0,0,94.4,5860,99,0,1200000,7.04,856,1,모바일앱,99999,0
24000000,39,33490,6,141720,114,4,0,96.11,5728,58,0,7500000,10.08,806,1,모바일앱,99999,0
50000000,44,8000,14,466590,40,0,0,0,5075,99,0,25000000,7.5,948,0,모바일앱,99999,1
35200000,48,0,0,130960,212,0,0,0,5686,66,0,25000000,8.53,923,0,모바일앱,99999,1
28800000,35,10141,9,769300,47,0,0,0,4885,59,0,14850000,7.5,845,0,모바일앱,99999,0
18400000,43,45287,,134370,98,0,0,75,5955,85,,6000000,7.72,893,0,모바일앱,99999,0
21600000,45,6303,5,96740,69,0,0,97.06,4501,30,0,2000000,10.08,788,2,모바일앱,99999,1
50000000,45,0,0,50000,31,0,0,0,1382,57,0,25000000,7.45,971,0,모바일앱,99999,0
18400000,60,0,3,286330,130,0,0,35.43,6746,43,0,5000000,7.5,903,0,모바일웹,99999,0
24000000,42,0,5,172370,177,0,0,99.86,7162,55,0,21000000,7.53,945,0,모바일앱,99999,0
28000000,36,76731,0,115160,140,0,0,99.18,3810,96,0,3000000,8.2,794,1,모바일앱,99999,0
16800000,48,82072,7,122590,123,1,0,98.42,6376,44,0,3000000,10.08,815,3,모바일앱,99999,0
50000000,65,4333,0,62360,170,1,0,74.62,8930,82,1,20000000,7.17,883,0,모바일앱,99999,0
41600000,46,0,11,636010,151,0,0,97.25,7873,68,0,25000000,7.04,956,0,홈페이지,99999,0
22400000,40,0,13,74900,163,0,0,66.67,2743,86,0,3000000,8.53,959,0,모바일앱,99999,0
20800000,41,4518,5,338200,125,0,0,95.31,7819,100,0,25000000,7.04,901,1,모바일앱,99999,0
47200000,49,98450,0,148160,71,0,0,0,10647,98,0,20000000,7.17,872,1,모바일앱,99999,0
20000000,44,41414,7,281550,69,1,0,71.53,5182,100,0,3000000,9.11,761,0,모바일앱,99999,0
43200000,38,44650,2,245870,146,0,0,88.76,2921,36,0,3000000,10.08,782,1,모바일앱,99999,0
40000000,38,0,16,532920,129,1,0,99.92,1547,77,0,19580000,9.11,946,0,모바일앱,99999,0
20800000,40,6638,1,161750,197,0,0,97.94,3607,0,0,10000000,9.11,870,0,모바일앱,99999,0
