지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),지면온도(°C)
108,서울,2023-01-09 18:00,2.8,,3,49,1014.4,-0.2
108,서울,2023-01-09 19:00,1.7,,1.1,50,1015.5,-0.4
108,서울,2023-01-09 20:00,0.8,,1,53,1016.1,-0.5
108,서울,2023-01-09 21:00,0.6,,2.7,56,1016.4,-0.7
108,서울,2023-01-09 22:00,-0.3,,2.2,58,1017,-0.8
108,서울,2023-01-09 23:00,-1.1,,1.7,61,1017,-1
108,서울,2023-01-10 0:00,-1.3,,1.1,60,1017.6,-1.1
108,서울,2023-01-10 1:00,-2.1,,1.3,62,1018,-1.2
108,서울,2023-01-10 2:00,-2.6,,1.4,67,1018.3,-1.4
108,서울,2023-01-10 3:00,-2.8,,2,70,1018.7,-1.5
108,서울,2023-01-10 4:00,-3,,0.7,72,1018.9,-1.7
108,서울,2023-01-10 5:00,-3.2,,1.8,71,1018.6,-1.9
108,서울,2023-01-10 6:00,-3.8,,2,70,1018.3,-2.2
108,서울,2023-01-10 7:00,-3.7,,2.1,73,1018.7,-2.5
108,서울,2023-01-10 8:00,-3.9,,1.6,75,1019.1,-2.7
108,서울,2023-01-10 9:00,-3.2,,2.3,75,1019.4,-2.2
108,서울,2023-01-10 10:00,-0.4,,2.2,66,1019.6,-0.4
108,서울,2023-01-10 11:00,2.2,,2.3,56,1019.2,0.9
108,서울,2023-01-10 12:00,4.5,,1.1,49,1018.6,2.2
108,서울,2023-01-10 13:00,6.4,,0.7,45,1017.6,3.9
108,서울,2023-01-10 14:00,8.2,,1.6,40,1016.9,5.5
108,서울,2023-01-10 15:00,8.8,,1.9,41,1016.5,4.7
108,서울,2023-01-10 16:00,8.5,,2.3,40,1016.3,1.5
108,서울,2023-01-10 17:00,6.8,,2.1,44,1016,-0.3
108,서울,2023-01-10 18:00,4.9,,1.6,51,1016.2,-0.2
108,서울,2023-01-10 19:00,4.2,,1,52,1016.7,-0.2
108,서울,2023-01-10 20:00,3.5,,1.8,55,1016.8,-0.2
108,서울,2023-01-10 21:00,2.9,,0.4,57,1016.8,-0.3
108,서울,2023-01-10 22:00,2.2,,0.4,62,1016.2,-0.3
108,서울,2023-01-10 23:00,1.9,,0.4,63,1015.9,-0.4
108,서울,2023-01-11 0:00,1.2,,1.8,66,1016,-0.6
108,서울,2023-01-11 1:00,0.4,,2,70,1016,-0.7
108,서울,2023-01-11 2:00,-0.3,,1.6,68,1016,-0.8
108,서울,2023-01-11 3:00,-0.6,,0.8,73,1016,-1
108,서울,2023-01-11 4:00,-0.8,,0.5,78,1015.9,-1.2
108,서울,2023-01-11 5:00,-1,,1.4,78,1016.1,-1.4
108,서울,2023-01-11 6:00,-1.1,,0.8,80,1016,-1.7
108,서울,2023-01-11 7:00,-1.5,,1.4,83,1016.4,-2.1
108,서울,2023-01-11 8:00,-1.9,,2.1,84,1016.5,-2.3
108,서울,2023-01-11 9:00,-1.5,,2,83,1016.9,-1.7
108,서울,2023-01-11 10:00,0.8,,1.3,78,1017.3,-0.3
108,서울,2023-01-11 11:00,3.6,,1.9,65,1016.5,0.7
108,서울,2023-01-11 12:00,5.3,,1.1,56,1015.8,2.5
108,서울,2023-01-11 13:00,7,,1.8,47,1015.2,4.8
108,서울,2023-01-11 14:00,8.8,,2.4,35,1014.7,6.4
108,서울,2023-01-11 15:00,8.3,,2.5,33,1014.5,5
108,서울,2023-01-11 16:00,8.6,,1.6,35,1014.3,1.8
108,서울,2023-01-11 17:00,7.2,,1.8,41,1014.2,-0.2
108,서울,2023-01-11 18:00,5.4,,1.7,48,1014,-0.1
108,서울,2023-01-11 19:00,4.5,,0.6,51,1013.8,-0.2
108,서울,2023-01-11 20:00,3.6,,1.6,56,1013.6,-0.3
108,서울,2023-01-11 21:00,3.2,,0.9,56,1013.4,-0.3
108,서울,2023-01-11 22:00,3,,1.3,63,1013.8,-0.4
108,서울,2023-01-11 23:00,2.3,,1.9,64,1014,-0.5
108,서울,2023-01-12 0:00,1.5,,2.1,66,1013.7,-0.6
108,서울,2023-01-12 1:00,1.1,,1.6,61,1013.6,-0.6
108,서울,2023-01-12 2:00,0.7,,1.8,61,1014,-0.7
108,서울,2023-01-12 3:00,0.5,,2.1,64,1014.1,-0.8
108,서울,2023-01-12 4:00,-0.1,,2.1,68,1013.7,-1
108,서울,2023-01-12 5:00,-0.3,,2,68,1013.5,-1.2
108,서울,2023-01-12 6:00,-0.3,,1.9,69,1013.6,-1.5
108,서울,2023-01-12 7:00,-0.5,,2.1,70,1013.8,-1.7
108,서울,2023-01-12 8:00,-0.3,,2.9,70,1014,-1.9
108,서울,2023-01-12 9:00,1.4,,2.6,61,1014.2,-1.2
108,서울,2023-01-12 10:00,3.8,,2.5,53,1014.1,-0.2
108,서울,2023-01-12 11:00,6.2,,2.4,44,1013.9,1.1
108,서울,2023-01-12 12:00,8.1,,2.3,38,1012.9,3.1
108,서울,2023-01-12 13:00,9.8,,1.7,34,1011.5,5.9
108,서울,2023-01-12 14:00,11.3,,1.7,29,1010.6,7.8
108,서울,2023-01-12 15:00,11.9,,2.4,27,1010.3,6.5
108,서울,2023-01-12 16:00,12.5,,1.9,28,1010,3.1
108,서울,2023-01-12 17:00,11.6,,1.2,33,1009.7,0.9
108,서울,2023-01-12 18:00,9.3,,1.9,34,1009.9,-0.1
108,서울,2023-01-12 19:00,8.1,,2.5,38,1009.4,-0.2
108,서울,2023-01-12 20:00,7.5,,1.8,38,1008.9,-0.2
108,서울,2023-01-12 21:00,7.4,,3.1,35,1008.3,-0.2
108,서울,2023-01-12 22:00,7.9,,2.5,35,1008.1,-0.1
108,서울,2023-01-12 23:00,8.5,,2.7,36,1007.9,-0.1
108,서울,2023-01-13 0:00,8.5,0,3.1,45,1007.3,0.1
108,서울,2023-01-13 1:00,7.3,,3,61,1006.6,0.4
108,서울,2023-01-13 2:00,5.7,,3.4,86,1005.9,1.8
108,서울,2023-01-13 3:00,5.1,10.8,5.2,97,1005,1.9
108,서울,2023-01-13 4:00,5.6,,3.9,97,1004.2,2
108,서울,2023-01-13 5:00,6.2,,3.9,99,1002.7,2.3
108,서울,2023-01-13 6:00,6.8,6.5,4.6,100,1001.9,2.8
108,서울,2023-01-13 7:00,7.6,,4.4,100,1000.6,3.5
108,서울,2023-01-13 8:00,8,,4.8,100,1000.2,3.6
108,서울,2023-01-13 9:00,8.2,18.3,3.7,100,999.9,3.7
108,서울,2023-01-13 10:00,8.4,,2.6,100,999.6,3.4
108,서울,2023-01-13 11:00,8.7,,3.1,100,999.2,4
108,서울,2023-01-13 12:00,9,0.5,1.3,99,998.4,3.6
108,서울,2023-01-13 13:00,9.2,,2,98,997.8,3.7
108,서울,2023-01-13 14:00,9.4,,1.5,100,997.5,4.1
108,서울,2023-01-13 15:00,9.8,0.2,0.5,100,997.7,4.2
108,서울,2023-01-13 16:00,10,,1,99,998.2,4.2
108,서울,2023-01-13 17:00,10,,1.2,100,998.5,3.8
108,서울,2023-01-13 18:00,9.9,0.7,1.1,98,999.4,3.2
108,서울,2023-01-13 19:00,9.7,,1.3,99,1000.3,3
108,서울,2023-01-13 20:00,9.4,,1.1,99,1000.5,3.1
108,서울,2023-01-13 21:00,9.2,0.2,1.4,99,1000.8,3.1
108,서울,2023-01-13 22:00,9.1,,1,99,1001.4,2.7
108,서울,2023-01-13 23:00,8.9,,1.4,98,1001,3.1
108,서울,2023-01-14 0:00,8.4,0.1,1.8,100,1001.2,3.2
108,서울,2023-01-14 1:00,8.3,,1.3,99,1001,2.8
108,서울,2023-01-14 2:00,8.1,,1,99,1001.6,2.8
108,서울,2023-01-14 3:00,7.8,0.1,1.9,100,1001.7,2.7
108,서울,2023-01-14 4:00,7.8,,0.5,100,1001,2.3
108,서울,2023-01-14 5:00,7.8,,0.9,99,1001,2.5
108,서울,2023-01-14 6:00,7.8,0,0.1,100,1000.9,2.5
108,서울,2023-01-14 7:00,7.9,,1.3,99,1001.2,2.5
108,서울,2023-01-14 8:00,7.6,,1,100,1001.7,2.6
108,서울,2023-01-14 9:00,7.7,0.1,1.3,100,1002.3,2.9
108,서울,2023-01-14 10:00,7.9,,2,100,1002.8,3.3
108,서울,2023-01-14 11:00,7.9,,2.2,98,1003.1,3.8
108,서울,2023-01-14 12:00,8,0.9,2.2,99,1002.7,4.5
108,서울,2023-01-14 13:00,8,,2.6,95,1002.4,5.4
108,서울,2023-01-14 14:00,7.6,,4.1,97,1002.1,5.8
108,서울,2023-01-14 15:00,7.3,0.5,4.3,91,1001.7,6
108,서울,2023-01-14 16:00,6.7,,4.1,87,1002,4.3
108,서울,2023-01-14 17:00,6.4,,4.2,85,1003,3.4
108,서울,2023-01-14 18:00,5.9,,3.6,84,1004.3,2.7
108,서울,2023-01-14 19:00,5.4,,3.7,84,1004.9,2.2
108,서울,2023-01-14 20:00,5,,3.6,86,1005.2,2
108,서울,2023-01-14 21:00,4.7,0,3.7,84,1006.1,1.7
108,서울,2023-01-14 22:00,4.3,,3.3,87,1005.9,1.5
108,서울,2023-01-14 23:00,4,,4.8,87,1005.3,1.4
108,서울,2023-01-15 0:00,3.8,0,3.6,85,1005.8,1.3
108,서울,2023-01-15 1:00,3.7,,3.7,89,1005.4,1.2
108,서울,2023-01-15 2:00,3.2,,2.9,97,1005.7,1.2
108,서울,2023-01-15 3:00,3,0.7,3,97,1005.8,1.1
108,서울,2023-01-15 4:00,2.9,,1.9,98,1006,1
108,서울,2023-01-15 5:00,2.8,,2.5,97,1005.6,1
108,서울,2023-01-15 6:00,2.6,1.1,2.1,98,1005.4,0.9
108,서울,2023-01-15 7:00,2.2,,2.5,98,1005.7,0.7
108,서울,2023-01-15 8:00,1.4,,2.7,97,1006.2,0.2
108,서울,2023-01-15 9:00,0.8,0.9,3,98,1006.6,0
108,서울,2023-01-15 10:00,0.3,,2.8,99,1007.3,-0.1
108,서울,2023-01-15 11:00,0.1,,3.4,97,1007.3,0
108,서울,2023-01-15 12:00,0.1,0.5,2.4,96,1006.7,0.8
108,서울,2023-01-15 13:00,-0.3,,2.9,97,1006.1,0.2
108,서울,2023-01-15 14:00,-0.6,,3,93,1005.5,0.6
108,서울,2023-01-15 15:00,-0.8,0,2.3,92,1006.3,0.1
108,서울,2023-01-15 16:00,-1.1,,3.1,92,1006.3,-0.1
108,서울,2023-01-15 17:00,-1.3,,3.2,92,1006.6,-0.1
108,서울,2023-01-15 18:00,-1.5,0,3.2,93,1007.6,-0.1
108,서울,2023-01-15 19:00,-1.9,,3.3,89,1008.5,-0.1
108,서울,2023-01-15 20:00,-2,,2.5,87,1008.6,-0.1
108,서울,2023-01-15 21:00,-2.4,0,3.4,86,1009.3,-0.2
108,서울,2023-01-15 22:00,-2.9,,3.9,85,1009.4,-0.2
108,서울,2023-01-15 23:00,-3.3,,2.5,88,1009.9,-0.3
108,서울,2023-01-16 0:00,-3.5,0,2.7,91,1010.4,-0.3
108,서울,2023-01-16 1:00,-3.6,,2.8,90,1010.7,-0.4
108,서울,2023-01-16 2:00,-3.8,,2.7,87,1010.9,-0.4
108,서울,2023-01-16 3:00,-4.1,0,2.8,85,1011.2,-0.5
108,서울,2023-01-16 4:00,-4.3,,2.4,85,1011.3,-0.5
108,서울,2023-01-16 5:00,-4.7,,2.8,84,1011.7,-0.6
108,서울,2023-01-16 6:00,-5,0,2.7,83,1012.3,-0.7
108,서울,2023-01-16 7:00,-5.4,,4.2,78,1013.2,-1
108,서울,2023-01-16 8:00,-6.2,,3.5,71,1014,-1.3
108,서울,2023-01-16 9:00,-6.7,0,3.3,64,1014.6,-1.7
108,서울,2023-01-16 10:00,-6,,3.5,60,1015.3,-0.5
108,서울,2023-01-16 11:00,-4.9,,3.1,57,1015.6,0
108,서울,2023-01-16 12:00,-4,,3.2,53,1014.9,1
108,서울,2023-01-16 13:00,-2.5,,2.8,53,1014.7,1.8
108,서울,2023-01-16 14:00,-1.6,,2.1,49,1014.2,2.9
108,서울,2023-01-16 15:00,-1.7,,3.1,48,1014.6,2.6
108,서울,2023-01-16 16:00,-1.8,,3,46,1014.5,0.1
108,서울,2023-01-16 17:00,-2.4,,2.9,45,1014.9,-0.1
108,서울,2023-01-16 18:00,-3.8,,2.5,52,1015.2,-0.4
108,서울,2023-01-16 19:00,-4.4,,1.9,55,1015.8,-0.7
108,서울,2023-01-16 20:00,-4.9,,1.8,57,1015.9,-1
108,서울,2023-01-16 21:00,-5.4,,1.5,60,1016.1,-1.3
